name,installed,latest,compatible_candidate,status,reason
python-multipart,0.0.32,0.0.32,0.0.32,当前 Python 下无新版,
pytokens,0.4.1,0.4.1,0.4.1,当前 Python 下无新版,
pytz,2026.3.post1,2026.3.post1,2026.3.post1,当前 Python 下无新版,
pyyaml,6.0.3,6.0.3,6.0.3,当前 Python 下无新版,
redis,6.4.0,8.1.0,6.4.0,保留上游约束,Kombu redis extra 要求 <6.5
regex,2026.9.10,2026.9.10,2026.9.10,当前 Python 下无新版,
reportlab,5.0.1,5.0.1,5.0.1,当前 Python 下无新版,
requests,2.34.2,2.34.2,2.34.2,当前 Python 下无新版,
resvg-py,0.5.0,0.5.0,0.5.0,当前 Python 下无新版,
rich,15.0.0,15.0.0,15.0.0,当前 Python 下无新版,
rl-accel,0.9.1,0.9.1,0.9.1,当前 Python 下无新版,
ruff,0.16.8,0.16.8,0.16.8,当前 Python 下无新版,
safehttpx,0.1.7,0.1.7,0.1.7,当前 Python 下无新版,
safetensors,0.8.0,0.8.0,0.8.0,当前 Python 下无新版,
semantic-version,2.10.0,2.10.0,2.10.0,当前 Python 下无新版,
setuptools,84.0.0,84.0.0,84.0.0,当前 Python 下无新版,
shapely,2.1.2,2.1.2,2.1.2,当前 Python 下无新版,
shellingham,1.5.4,1.5.4,1.5.4,当前 Python 下无新版,
six,1.17.0,1.17.0,1.17.0,当前 Python 下无新版,
sniffio,1.3.1,1.3.1,1.3.1,当前 Python 下无新版,
soupsieve,2.9.2,2.9.2,2.9.2,当前 Python 下无新版,
starlette,1.6.0,1.6.0,1.6.0,当前 Python 下无新版,
sympy,1.14.0,1.14.0,1.14.0,当前 Python 下无新版,
tenacity,9.1.4,9.1.4,9.1.4,当前 Python 下无新版,
tiangong-ai-unstructure-serve,0.1.0,0.1.0,0.1.0,本项目，不查询 PyPI,
tokenizers,0.23.2,0.23.2,0.23.2,当前 Python 下无新版,
toml,0.10.2,0.10.2,0.10.2,当前 Python 下无新版,
tomlkit,0.14.0,0.15.1,0.14.0,保留上游约束,Gradio 要求 <0.15
torch,2.14.0,2.14.0,2.14.0,当前 Python 下无新版,
torchvision,0.29.0,0.29.0,0.29.0,当前 Python 下无新版,
tornado,6.5.10,6.5.10,6.5.10,当前 Python 下无新版,
tqdm,4.70.1,4.70.1,4.70.1,当前 Python 下无新版,
transformers,5.17.0,5.17.0,5.17.0,当前 Python 下无新版,
triton,3.8.0,3.8.0,3.8.0,当前 Python 下无新版,
typer,0.27.2,0.27.2,0.27.2,当前 Python 下无新版,
typing-extensions,4.16.0,4.16.0,4.16.0,当前 Python 下无新版,
typing-inspection,0.4.4,0.4.4,0.4.4,当前 Python 下无新版,
tzdata,2026.4,2026.4,2026.4,当前 Python 下无新版,
tzlocal,5.4.4,5.4.4,5.4.4,当前 Python 下无新版,
urllib3,2.8.0,2.8.0,2.8.0,当前 Python 下无新版,
uvicorn,0.53.0,0.53.0,0.53.0,当前 Python 下无新版,
uvicorn-worker,0.4.0,0.4.0,0.4.0,当前 Python 下无新版,
uvloop,0.22.1,0.22.1,0.22.1,当前 Python 下无新版,
vine,5.1.0,5.1.0,5.1.0,当前 Python 下无新版,
watchfiles,1.2.0,1.2.0,1.2.0,当前 Python 下无新版,
wcwidth,0.8.3,0.8.4,0.8.4,候选升级,
websockets,16.1.1,17.1,16.1.1,保留上游约束,google-genai 要求 <17
xlsxwriter,3.2.9,3.2.9,3.2.9,当前 Python 下无新版,
ziafont,0.11,0.11,0.11,当前 Python 下无新版,
ziamath,0.13,0.13,0.13,当前 Python 下无新版,
